datetime,sessionTime,ECG,HR,RMSSD
260627172349.325,0.000,,70.000,9.155
260627172349.798,1.000,,70.000,9.155
260627172350.756,2.000,,70.000,9.155
260627172351.839,3.000,,70.000,9.339
260627172352.800,4.000,,70.000,9.337
260627172353.758,5.000,,70.000,9.491
260627172354.719,6.000,,70.000,8.988
260627172355.798,7.000,,70.000,9.030
260627172356.759,8.000,,70.000,8.759
260627172357.839,9.000,,71.000,8.759
260627172358.803,10.000,,71.000,8.759
260627172359.759,11.000,,71.000,8.759
260627172400.718,12.000,,71.000,8.759
260627172401.798,13.000,,72.000,8.759
260627172402.760,14.000,,72.000,8.759
260627172405.633,15.000,,72.000,8.759
260627172406.593,16.000,,72.000,8.759
