sample_index,elapsed_seconds,local_time_iso8601,x,y,z,rotation_x,rotation_y,rotation_z,speed_mps,is_in_C,is_in_F,is_in_O,ECG,HR,RMSSD
0,0.000,2026-08-06T14:15:25.3282804+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,,,
1,0.500,2026-08-06T14:15:26.7596563+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,,,
2,1.206,2026-08-06T14:15:28.8082893+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,,,
3,1.712,2026-08-06T14:15:29.3114822+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-2030,104,
4,2.214,2026-08-06T14:15:29.8133045+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1778,104,
5,2.718,2026-08-06T14:15:30.3178075+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1625,104,
6,3.222,2026-08-06T14:15:30.8216196+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,1,0,0,-1569,104,
7,3.724,2026-08-06T14:15:31.3231584+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,1,0,1,-1452,104,
8,4.232,2026-08-06T14:15:31.8307361+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,1,-879,104,
9,4.743,2026-08-06T14:15:32.3422767+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,1,1,-1343,104,
10,5.244,2026-08-06T14:15:32.8430799+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1292,104,
11,5.752,2026-08-06T14:15:33.3516064+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1214,101,
12,6.255,2026-08-06T14:15:33.8540218+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1185,101,
13,6.755,2026-08-06T14:15:34.3549764+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1168,99,13.3026142
14,7.259,2026-08-06T14:15:34.8582135+02:00,0.0000,0.0000,1.4400,0.000,0.000,0.000,0.0000,0,0,0,-1071,99,13.3026142
